file_id	md5	size	urls	sample_id
52d8c92f2d3660b9add954d544bc286e	0a068359ab90b770a8f4e1b476a7918c	541	fasp://aspera.ihmpdcc.org/ptb/cytokine/host/analysis/EP424615_K100_BCKX.CytokineProfile.txt	c1a3c2242013072d08ebe1b809622d2b
e50d0c183689e4053ccb35f8b205093b	19617e293cf7f6369798053dd58a0f18	377	http://downloads.hmpdacc.org/ihmp/ptb/cytokine/host/analysis/EP936022_K10_MVAX.CytokineProfile.txt,fasp://aspera.ihmpdcc.org/ptb/cytokine/host/analysis/EP936022_K10_MVAX.CytokineProfile.txt	858ed4564f11795ec13dda4c109b7cf4
52d8c92f2d3660b9add954d544bbf268	f2c6d2821bb496e5b0dcb84a2e9cfda4	555	fasp://aspera.ihmpdcc.org/ptb/cytokine/host/analysis/EP438112_K50_MVAX.CytokineProfile.txt	c1a3c2242013072d08ebe1b809750b64
52d8c92f2d3660b9add954d544c916be	ff3fb8bae445d7bf54d37568dc9cf29a	307	fasp://aspera.ihmpdcc.org/ptb/cytokine/host/analysis/EP426527_K100_BCKX.CytokineProfile.txt	c1a3c2242013072d08ebe1b80962bd19
52d8c92f2d3660b9add954d544b5d50b	3824090c12bcb95223ccff4034d3137c	306	fasp://aspera.ihmpdcc.org/ptb/cytokine/host/analysis/EP442697_K80_MCKX.CytokineProfile.txt	c1a3c2242013072d08ebe1b809668dbf
e50d0c183689e4053ccb35f8b206091e	6a427dcbf432856fb56f9acdb4aae466	372	http://downloads.hmpdacc.org/ihmp/ptb/cytokine/host/analysis/EP794231_K10_MVAX.CytokineProfile.txt,fasp://aspera.ihmpdcc.org/ptb/cytokine/host/analysis/EP794231_K10_MVAX.CytokineProfile.txt	858ed4564f11795ec13dda4c109d8b33
52d8c92f2d3660b9add954d544b6bc44	d9bf4f0001f1e5e03c9d6f0da281ecf0	568	fasp://aspera.ihmpdcc.org/ptb/cytokine/host/analysis/EP275797_K20_MVAX.CytokineProfile.txt	c1a3c2242013072d08ebe1b80972e11d
52d8c92f2d3660b9add954d544b1e9c0	73718f3958fd4beaa44f2d0800748568	591	fasp://aspera.ihmpdcc.org/ptb/cytokine/host/analysis/EP070043_K70_BCKX.CytokineProfile.txt	c1a3c2242013072d08ebe1b80963365f
52d8c92f2d3660b9add954d544c16b19	3a03d3ba11f27805dd45b54134948fee	574	fasp://aspera.ihmpdcc.org/ptb/cytokine/host/analysis/EP548641_K50_MP1P.CytokineProfile.txt	c1a3c2242013072d08ebe1b80969470b
52d8c92f2d3660b9add954d544b4b867	58b4d54789fa5463fb4e629d24d52156	578	fasp://aspera.ihmpdcc.org/ptb/cytokine/host/analysis/EP557758_K50_MVAX.CytokineProfile.txt	c1a3c2242013072d08ebe1b8096c7d1a
52d8c92f2d3660b9add954d544b1f998	dae6869141f599706a4c9e01fc360bc3	573	fasp://aspera.ihmpdcc.org/ptb/cytokine/host/analysis/EP081373_K80_MCKX.CytokineProfile.txt	c1a3c2242013072d08ebe1b809656be7
52d8c92f2d3660b9add954d544be2dde	e883afc9b145d3fc97a3ff1b3cae7bce	306	fasp://aspera.ihmpdcc.org/ptb/cytokine/host/analysis/EP117702_K90_BCKX.CytokineProfile.txt	c1a3c2242013072d08ebe1b8095e009b
52d8c92f2d3660b9add954d544c86d26	47210cd1a83545f088e6e42818f7a1d3	306	fasp://aspera.ihmpdcc.org/ptb/cytokine/host/analysis/EP460410_K90_BCKX.CytokineProfile.txt	c1a3c2242013072d08ebe1b8096184cb
52d8c92f2d3660b9add954d544b139d1	52a1cce0369a0d3f271b559cd0b7a87f	521	fasp://aspera.ihmpdcc.org/ptb/cytokine/host/analysis/EP164977_K60_MP1P.CytokineProfile.txt	c1a3c2242013072d08ebe1b80968a903
52d8c92f2d3660b9add954d544c09371	ecbb86bc6b285ba7f55b6f3821a4fa65	578	fasp://aspera.ihmpdcc.org/ptb/cytokine/host/analysis/EP673818_K10_MVAX.CytokineProfile.txt	c1a3c2242013072d08ebe1b809736295
