file_id	md5	size	urls	sample_id
858ed4564f11795ec13dda4c10992746	bc7e95f75037bfb315777a699e110808	5966	http://downloads.hmpdacc.org/ihmp/ibd/genome/microbiome/16s/analysis/hmqcp/HSM5MD7W.biom,fasp://aspera.ihmpdcc.org/ibd/genome/microbiome/16s/analysis/hmqcp/HSM5MD7W.biom	858ed4564f11795ec13dda4c102f1dcb
2341f5d5c8b48ad8e3ba519f21e14bb6	f37726451ee8f69df4b4a73d4bfacc33	21878	fasp://aspera.ihmpdcc.org/ibd/genome/microbiome/wgs/analysis/hmscp/HSM7J4QB_taxonomic_profile.biom	2341f5d5c8b48ad8e3ba519f21e1315d
2341f5d5c8b48ad8e3ba519f21b0e009	9ab11ed01e7145a0a7e354b7c81664cd	22886	fasp://aspera.ihmpdcc.org/ibd/genome/microbiome/wgs/analysis/hmscp/CSM79HOX_taxonomic_profile.biom	2341f5d5c8b48ad8e3ba519f21b0ccb8
858ed4564f11795ec13dda4c109628af	77def9e556686bfdaeab7fc5f00f99e4	13809	http://downloads.hmpdacc.org/ihmp/ibd/genome/microbiome/wgs/analysis/hmscp/HSM5MD8F.biom,fasp://aspera.ihmpdcc.org/ibd/genome/microbiome/wgs/analysis/hmscp/HSM5MD8F.biom	858ed4564f11795ec13dda4c1026d1d0
2341f5d5c8b48ad8e3ba519f21f72470	adb3e572c01e49f3392d68845a48b47c	35775	fasp://aspera.ihmpdcc.org/ibd/genome/microbiome/wgs/analysis/hmscp/HSM67VIB_taxonomic_profile.biom	2341f5d5c8b48ad8e3ba519f21f70b66
858ed4564f11795ec13dda4c1092aee2	3d43ab84d98cffc3dafda480545ecd67	5975	http://downloads.hmpdacc.org/ihmp/ibd/genome/microbiome/wgs/analysis/hmscp/HSM6XRQC.biom,fasp://aspera.ihmpdcc.org/ibd/genome/microbiome/wgs/analysis/hmscp/HSM6XRQC.biom	858ed4564f11795ec13dda4c101e4f7f
2341f5d5c8b48ad8e3ba519f21aa5fee	84c020ffae2cbe24ea3f7769049a0072	19534	fasp://aspera.ihmpdcc.org/ibd/genome/microbiome/wgs/analysis/hmscp/CSM7KOPG_taxonomic_profile.biom	2341f5d5c8b48ad8e3ba519f21aa3c70
858ed4564f11795ec13dda4c1092ed69	97b5c5b3cb1d91d13c2245c807d373a9	19363	http://downloads.hmpdacc.org/ihmp/ibd/genome/microbiome/16s/analysis/hmqcp/ESM5MEET.biom,fasp://aspera.ihmpdcc.org/ibd/genome/microbiome/16s/analysis/hmqcp/ESM5MEET.biom	858ed4564f11795ec13dda4c101e8dd0
858ed4564f11795ec13dda4c10993ccf	71655d36900002fbf1e09b25cc7593e3	11337	http://downloads.hmpdacc.org/ihmp/ibd/genome/microbiome/16s/analysis/hmqcp/HSM5MD5H.biom,fasp://aspera.ihmpdcc.org/ibd/genome/microbiome/16s/analysis/hmqcp/HSM5MD5H.biom	858ed4564f11795ec13dda4c102f4d12
e1c31fe92a0dc8e8c0e413eb0c1aff6f	78664db94ef5dd0acdf152b4f353e2ca	29544	fasp://aspera.ihmpdcc.org/ibd/genome/microbiome/wgs/analysis/hmscp/MSM6J2QB_taxonomic_profile.biom	e1c31fe92a0dc8e8c0e413eb0c1ad415
